CODIGOACTA,Índice1,MOVILIDAD,MIEMBROS,DECOMISO,GENERO,OBRA SOCIAL,CREDITO,RIFLES,ESCOPETA,MACHETES,CUCHILLOS,OAD_FUEGO,RAMA,BENEFICIOS,MUNICIPIO,DEPARTAMENTO,EDAD,CLASES,Cluster
45,1,MOTOCICLETA,2 MIEMBROS,SIN DECOMISO,VARÓN,CON OBRA SOCIAL,,0,2,2,1,1,ADM PUBLICA/SERV PROFESIONALES,Sin ProgSocial,POZO AZUL,SAN PEDRO,21-31 años,Caza como tactica,3
45,2,MOTOCICLETA,2 MIEMBROS,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,2,2,1,1,ACTIVIDADES RURALES,Sin ProgSocial,SAN VICENTE,GUARANÍ,=>43 años,Caza como tactica,3
74,1,,3 MIEMBROS,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,0,1,2,1,CONSTRUCCION/MADERA,Sin ProgSocial,PUERTO LIBERTAD,IGUAZÚ,32-42 años,Caza como estrategia,1
74,3,,3 MIEMBROS,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,0,1,2,1,CONSTRUCCION/MADERA,Sin ProgSocial,PUERTO LIBERTAD,IGUAZÚ,32-42 años,Caza como estrategia,1
56,2,,2 MIEMBROS,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,0,1,0,1,ACTIVIDADES RURALES,Sin ProgSocial,SAN JAVIER,SAN JAVIER,32-42 años,Caza como tactica,3
4,2,,2 MIEMBROS,SIN DECOMISO,MUJER,,,0,2,0,0,1,,,SAN ANTONIO,GENERAL MANUEL BELGRANO,,Caza como tactica,2
4,1,,2 MIEMBROS,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,2,0,0,1,ADM PUBLICA/SERV PROFESIONALES,Sin ProgSocial,SAN ANTONIO,GENERAL MANUEL BELGRANO,32-42 años,Caza como tactica,3
9,1,,1 MIEMBRO,SIN DECOMISO,VARÓN,,,0,0,0,0,1,,,WANDA,IGUAZÚ,,Caza como estrategia,2
50,1,,2 MIEMBROS,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,0,0,0,1,ACTIVIDADES RURALES,Algún ProgSocial,COMANDANTE ANDRESITO,GENERAL MANUEL BELGRANO,,Caza como tactica,3
50,2,,2 MIEMBROS,SIN DECOMISO,VARÓN,CON OBRA SOCIAL,,0,0,0,0,1,CONSTRUCCION/MADERA,Algún ProgSocial,COMANDANTE ANDRESITO,GENERAL MANUEL BELGRANO,,Caza como estrategia,3
29,2,MOTOCICLETA,2 MIEMBROS,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,1,1,1,0,ACTIVIDADES RURALES,Sin ProgSocial,COLONIA DELICIA,ELDORADO,21-31 años,Caza como tactica,3
29,1,MOTOCICLETA,2 MIEMBROS,SIN DECOMISO,VARÓN,CON OBRA SOCIAL,,0,1,1,1,0,CONSTRUCCION/MADERA,Sin ProgSocial,COLONIA DELICIA,ELDORADO,21-31 años,Caza como tactica,3
51,2,,2 MIEMBROS,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,1,1,0,1,0,,,WANDA,IGUAZÚ,-21 años,Caza como tactica,2
51,1,,2 MIEMBROS,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,1,1,0,1,0,CONSTRUCCION/MADERA,Sin ProgSocial,WANDA,IGUAZÚ,-21 años,Caza como tactica,3
