CODIGOACTA,Índice1,MOVILIDAD,MIEMBROS,DECOMISO,GENERO,OBRA SOCIAL,CREDITO,RIFLES,ESCOPETA,MACHETES,CUCHILLOS,OAD_FUEGO,RAMA,BENEFICIOS,MUNICIPIO,DEPARTAMENTO,EDAD,CLASES
77,1,,3 MIEMBROS,CON DECOMISO,VARÓN,CON OBRA SOCIAL,,0,0,0,5,0,CONSTRUCCION/MADERA,Sin ProgSocial,ELDORADO,ELDORADO,32-42 años,Caza como estrategia
77,2,,3 MIEMBROS,CON DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,0,0,5,0,CONSTRUCCION/MADERA,Sin ProgSocial,GOBERNADOR VIRASORO (CORRIENTES),SANTO TOMÉ (CORRIENTES),=>43 años,Caza como estrategia
33,1,,1 MIEMBRO,SIN DECOMISO,VARÓN,,,0,1,1,0,0,CONSTRUCCION/MADERA,Algún ProgSocial,PUERTO ESPERANZA,IGUAZÚ,21-31 años,Caza como estrategia
28,1,,1 MIEMBRO,SIN DECOMISO,VARÓN,CON OBRA SOCIAL,,0,1,1,0,0,CONSTRUCCION/MADERA,Sin ProgSocial,SAN PEDRO,SAN PEDRO,21-31 años,Caza como tactica
10,1,CAMIONETA,1 MIEMBRO,CON DECOMISO,VARÓN,CON OBRA SOCIAL,,0,1,1,0,0,ADM PUBLICA/SERV PROFESIONALES,Sin ProgSocial,BERNARDO DE IRIGOYEN,GENERAL MANUEL BELGRANO,=>43 años,Caza como estrategia
59,2,,2 MIEMBROS,SIN DECOMISO,VARÓN,,,0,2,1,0,0,ACTIVIDADES RURALES,Sin ProgSocial,SAN ANTONIO,GENERAL MANUEL BELGRANO,21-31 años,Caza como tactica
59,1,,2 MIEMBROS,SIN DECOMISO,VARÓN,CON OBRA SOCIAL,,0,2,1,0,0,ADM PUBLICA/SERV PROFESIONALES,Sin ProgSocial,SAN ANTONIO,GENERAL MANUEL BELGRANO,=>43 años,Caza como estrategia
18,1,,1 MIEMBRO,SIN DECOMISO,VARÓN,CON OBRA SOCIAL,,0,0,1,0,0,COMERCIO/TRANSPORTE/SERVICIOS (GRAL),Algún ProgSocial,PUERTO IGUAZÚ,IGUAZÚ,=>43 años,Caza como estrategia
46,2,,2 MIEMBROS,CON DECOMISO,VARÓN,,,0,0,2,0,0,,,PUERTO IGUAZÚ,IGUAZÚ,,Caza como estrategia
63,2,MOTOCICLETA,2 MIEMBROS,SIN DECOMISO,VARÓN,,,0,0,2,0,0,,,WANDA,IGUAZÚ,,Caza como tactica
46,1,,2 MIEMBROS,CON DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,0,2,0,0,COMERCIO/TRANSPORTE/SERVICIOS (GRAL),Sin ProgSocial,PUERTO IGUAZÚ,IGUAZÚ,21-31 años,Caza como estrategia
63,1,MOTOCICLETA,2 MIEMBROS,SIN DECOMISO,VARÓN,CON OBRA SOCIAL,,0,0,2,0,0,ACTIVIDADES RURALES,Sin ProgSocial,WANDA,IGUAZÚ,21-31 años,Caza como tactica
74,2,,3 MIEMBROS,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,0,3,0,0,CONSTRUCCION/MADERA,Algún ProgSocial,PUERTO LIBERTAD,IGUAZÚ,32-42 años,Caza como estrategia
79,4,,4 MIEMBROS,CON DECOMISO,MUJER,SIN OBRA SOCIAL,,0,0,3,0,0,,Algún ProgSocial,,,-21 años,Caza como tactica
79,3,,4 MIEMBROS,CON DECOMISO,VARÓN,CON OBRA SOCIAL,,0,0,3,0,0,ACTIVIDADES RURALES,Sin ProgSocial,,,21-31 años,Caza como estrategia
79,1,,4 MIEMBROS,CON DECOMISO,VARÓN,CON OBRA SOCIAL,,0,0,3,0,0,ACTIVIDADES RURALES,Sin ProgSocial,,,32-42 años,Caza como estrategia
79,2,,4 MIEMBROS,CON DECOMISO,VARÓN,CON OBRA SOCIAL,,0,0,3,0,0,ACTIVIDADES RURALES,Sin ProgSocial,,,32-42 años,Caza como estrategia
